일시,최고기온,최저기온,일교차,강수량,평균습도,평균풍속,일조합,일사합,일조율,평균기온
1962-12-15,3.6,-3.8,7.4,,75.3,1.9,8.3,,86.5,-0.3
1962-12-16,3.8,-4.5,8.3,,72.8,0.8,0.0,,0.0,0.0
1962-12-17,4.3,-1.3,5.6,,76.8,1.1,0.0,,0.0,1.2
1962-12-18,5.8,-2.8,8.6,,73.5,0.8,2.2,,22.9,1.4
1962-12-19,6.3,-0.2,6.5,2.9,78.5,2.9,2.1,,21.9,3.2
1962-12-20,4.2,-4.8,9.0,0.0,59.3,3.7,5.2,,54.2,-1.0
1962-12-21,2.0,-5.9,7.9,1.6,81.3,1.4,0.0,,0.0,-2.2
1962-12-22,5.1,-5.4,10.5,,81.0,0.8,5.0,,52.1,0.2
1962-12-23,8.6,3.4,5.2,,74.8,2.4,5.2,,54.2,5.2
1962-12-24,7.8,0.5,7.3,,66.8,1.9,7.0,,72.9,4.0
1962-12-25,10.3,-0.5,10.8,,87.3,2.0,1.4,,14.6,4.2
1962-12-26,9.7,-2.6,12.3,,78.0,1.5,7.5,,78.1,2.9
1962-12-27,12.5,3.7,8.8,,64.0,2.9,2.0,,20.8,7.3
1962-12-28,12.4,5.3,7.1,,66.5,2.6,1.6,,16.7,8.2
1962-12-29,10.6,-1.2,11.8,5.1,78.5,2.4,2.9,,30.2,6.8
1962-12-30,-1.2,-10.4,9.2,3.8,68.0,3.9,7.7,,80.2,-7.3
1962-12-31,-5.5,-11.5,6.0,0.0,56.0,2.2,8.2,,85.4,-8.6
1963-01-01,0.5,-10.7,11.2,5.1,80.0,2.7,1.9,,19.8,-5.7
1963-01-02,-0.9,-8.7,7.8,0.0,77.3,2.2,5.2,,54.2,-4.3
1963-01-03,0.8,-7.1,7.9,,69.8,2.4,7.2,,74.2,-3.8
1963-01-04,0.8,-9.5,10.3,2.8,65.3,2.5,5.1,,52.6,-3.8
1963-01-05,-1.0,-12.4,11.4,0.0,74.0,4.4,7.1,,73.2,-6.9
1963-01-06,-7.1,-13.8,6.7,,68.8,1.8,2.5,,25.8,-10.8
1963-01-07,-3.6,-13.8,10.2,,68.8,1.6,7.2,,74.2,-9.0
1963-01-08,-2.8,-9.5,6.7,,61.5,2.3,7.3,,75.3,-6.3
1963-01-09,-0.3,-10.5,10.2,,69.3,1.7,8.2,,84.5,-6.5
1963-01-10,-3.3,-9.8,6.5,,75.0,3.7,6.7,,68.4,-6.9
1963-01-11,-7.6,-13.7,6.1,,57.0,3.5,8.5,,86.7,-10.7
1963-01-12,-8.8,-14.8,6.0,,57.8,3.3,8.7,,88.8,-12.2
1963-01-13,-6.8,-16.0,9.2,,63.8,2.1,8.6,,87.8,-11.4
1963-01-14,-1.9,-12.5,10.6,0.0,65.0,3.7,7.2,,73.5,-8.3
1963-01-15,-11.0,-15.9,4.9,,52.0,4.0,8.5,,85.9,-13.3
1963-01-16,-8.1,-16.2,8.1,0.0,59.0,2.4,8.8,,89.8,-12.4
1963-01-17,1.6,-10.6,12.2,0.0,81.5,3.1,3.1,,31.3,-5.2
1963-01-18,-3.4,-12.5,9.1,1.0,64.5,4.2,7.5,,75.8,-6.7
1963-01-19,-8.1,-15.0,6.9,,53.5,3.0,8.9,,89.9,-11.7
1963-01-20,-8.9,-14.3,5.4,4.2,78.8,1.9,0.0,,0.0,-11.8
1963-01-21,-9.8,-17.7,7.9,,57.5,3.2,8.9,,89.0,-14.5
1963-01-22,-6.7,-16.2,9.5,0.0,69.5,3.1,4.9,,49.0,-12.9
1963-01-23,-12.1,-18.4,6.3,,55.0,3.8,8.9,,88.1,-15.5
1963-01-24,-10.6,-18.0,7.4,,59.0,3.9,8.2,,81.2,-14.6
1963-01-25,-8.6,-15.9,7.3,,66.3,2.7,8.2,,81.2,-12.8
1963-01-26,-5.3,-16.1,10.8,,73.5,1.7,7.4,,73.3,-10.7
1963-01-27,-1.8,-12.2,10.4,,75.3,2.5,8.9,,87.3,-7.3
1963-01-28,-2.0,-10.6,8.6,,73.5,2.6,8.6,,84.3,-6.0
1963-01-29,-1.6,-8.5,6.9,0.0,71.3,2.8,6.9,,67.6,-5.7
1963-01-30,-4.8,-10.5,5.7,0.2,70.3,3.3,3.0,,29.1,-7.2
1963-01-31,-5.9,-11.6,5.7,,71.0,2.5,9.0,,87.4,-8.9
1963-02-01,-4.2,-12.6,8.4,,69.0,2.0,8.2,,79.6,-8.7
1963-02-02,-2.6,-12.1,9.5,0.0,74.8,1.7,5.8,,55.8,-7.7
1963-02-03,-3.8,-11.4,7.6,0.0,72.8,2.8,8.6,,82.7,-7.2
1963-02-04,-3.2,-11.4,8.2,0.0,71.8,1.9,7.0,,67.3,-7.4
1963-02-05,-0.4,-11.4,11.0,,74.0,2.2,7.0,,66.7,-6.4
1963-02-06,1.2,-9.9,11.1,,75.3,2.0,7.5,,71.4,-4.8
1963-02-07,2.5,-7.2,9.7,,84.8,2.8,3.6,,34.3,-2.4
1963-02-08,0.6,-5.7,6.3,0.0,73.8,3.7,4.5,,42.5,-2.3
1963-02-09,1.3,-8.8,10.1,,61.0,2.0,8.0,,75.5,-4.0
1963-02-10,3.8,-6.9,10.7,,67.0,2.2,9.4,,88.7,-1.4
1963-02-11,4.7,-3.1,7.8,0.2,81.3,4.0,0.0,,0.0,-0.7
1963-02-12,0.6,-5.5,6.1,0.0,75.5,3.1,8.5,,79.4,-3.0
1963-02-13,2.0,-7.3,9.3,,71.3,2.3,9.1,,85.0,-3.0
1963-02-14,4.7,-7.3,12.0,,72.8,2.2,8.4,,77.8,-1.6
1963-02-15,3.9,-2.4,6.3,,77.0,2.7,1.5,,13.9,-0.1
1963-02-16,5.8,-4.0,9.8,,79.5,3.0,8.3,,76.1,0.3
1963-02-17,4.7,-3.2,7.9,,80.5,2.1,6.6,,60.6,-0.5
1963-02-18,4.1,-5.7,9.8,,73.0,2.5,9.6,,88.1,-0.9
1963-02-19,3.3,-4.4,7.7,,61.5,3.1,8.9,,80.9,-1.1
1963-02-20,3.5,-5.7,9.2,,71.0,2.5,9.7,,88.2,-1.8
1963-02-21,4.9,-6.3,11.2,,75.8,2.7,8.4,,76.4,-1.1
1963-02-22,4.6,-5.4,10.0,,74.5,2.4,9.3,,83.8,-0.8
1963-02-23,8.2,-2.8,11.0,,67.8,4.6,3.3,,29.7,1.7
1963-02-24,4.0,-3.7,7.7,,52.8,4.7,9.8,,87.5,-0.5
1963-02-25,6.3,-4.6,10.9,0.2,58.5,1.9,5.0,,44.6,0.0
1963-02-26,0.8,-3.2,4.0,2.2,79.0,3.5,2.2,,19.6,-1.2
1963-02-27,2.2,-4.2,6.4,,73.0,2.7,8.1,,71.7,-1.7
1963-02-28,4.3,-5.7,10.0,,76.0,3.5,9.0,,79.6,-0.5
1963-03-01,10.6,1.3,9.3,,68.0,3.1,9.4,,83.2,4.4
1963-03-02,12.2,-1.4,13.6,2.2,60.0,2.8,4.9,,43.0,4.2
1963-03-03,9.2,1.0,8.2,0.0,74.0,2.9,8.0,,70.2,4.8
1963-03-04,6.4,-2.0,8.4,,73.5,2.1,5.7,,49.6,1.3
1963-03-05,7.0,-3.1,10.1,,68.8,2.0,8.0,,69.6,0.8
1963-03-06,7.4,-3.2,10.6,,67.0,2.5,9.5,,82.6,1.4
1963-03-07,8.2,-3.1,11.3,,54.0,2.2,7.1,,61.2,2.7
1963-03-08,8.4,-1.7,10.1,0.0,53.8,2.6,3.6,,31.0,4.6
1963-03-09,4.4,-0.4,4.8,0.0,60.3,5.0,0.0,,0.0,3.1
1963-03-10,7.0,-1.0,8.0,0.2,76.3,3.3,1.6,,13.7,1.9
1963-03-11,10.4,-2.0,12.4,,54.8,2.3,10.5,,89.0,3.7
1963-03-12,10.7,0.6,10.1,,52.3,2.6,10.9,,92.4,4.8
1963-03-13,13.1,-0.9,14.0,,49.3,2.2,10.9,,92.4,5.8
1963-03-14,12.4,0.0,12.4,,56.3,2.4,9.9,,83.2,6.0
1963-03-15,12.5,2.5,10.0,,54.5,2.4,5.9,,49.6,6.2
1963-03-16,14.6,-0.2,14.8,,62.8,2.2,9.3,,77.5,6.6
1963-03-17,13.4,1.6,11.8,,62.5,2.6,9.6,,80.0,7.0
1963-03-18,11.1,2.7,8.4,0.5,74.5,2.7,3.5,,29.2,6.2
1963-03-19,13.7,6.2,7.5,,63.8,4.3,2.0,,16.5,9.4
1963-03-20,17.1,6.3,10.8,,68.3,4.8,8.2,,67.8,11.5
1963-03-21,15.0,3.9,11.1,,63.5,2.6,10.4,,85.2,8.7
1963-03-22,16.4,3.0,13.4,,56.8,3.5,9.8,,80.3,8.5
1963-03-23,7.0,0.4,6.6,3.3,74.0,4.1,6.7,,54.9,3.7
1963-03-24,9.8,-0.5,10.3,,71.0,3.2,7.7,,62.6,3.7
1963-03-25,13.2,-0.6,13.8,,68.8,2.6,10.0,,81.3,5.8
1963-03-26,14.4,0.7,13.7,,60.3,2.5,10.2,,82.3,6.9
1963-03-27,16.1,1.0,15.1,,52.0,2.0,5.0,,40.3,8.6
1963-03-28,10.2,0.8,9.4,51.1,91.0,5.2,0.0,,0.0,3.5
1963-03-29,9.2,0.2,9.0,,65.5,2.6,10.4,,83.2,4.1
1963-03-30,12.9,-0.2,13.1,,60.0,3.5,8.1,,64.8,7.2
1963-03-31,19.2,5.8,13.4,,64.5,4.5,8.2,,65.1,12.3
1963-04-01,13.5,5.9,7.6,0.9,64.0,5.3,7.5,,59.5,10.4
1963-04-02,14.8,2.0,12.8,,51.3,2.2,10.2,,81.0,8.6
1963-04-03,9.4,2.8,6.6,0.4,64.3,1.4,0.0,,0.0,6.5
1963-04-04,19.5,6.9,12.6,0.4,68.0,2.4,2.3,,18.1,12.5
1963-04-05,16.4,9.6,6.8,37.9,86.8,2.4,0.0,,0.0,14.5
1963-04-06,9.9,4.4,5.5,9.4,87.5,3.8,0.0,,0.0,6.6
1963-04-07,12.3,3.3,9.0,,49.8,5.1,8.4,,65.6,7.7
1963-04-08,5.9,1.8,4.1,0.6,65.8,3.5,0.0,,0.0,4.3
1963-04-09,9.2,1.5,7.7,0.0,62.0,4.2,5.1,,39.5,4.9
1963-04-10,13.3,0.6,12.7,,55.8,3.8,10.9,,84.5,7.6
1963-04-11,16.4,3.8,12.6,,58.8,2.5,11.0,,84.6,10.0
1963-04-12,16.3,5.4,10.9,1.8,75.0,2.5,0.6,,4.5,10.9
1963-04-13,13.2,10.6,2.6,27.6,95.0,2.8,0.0,,0.0,11.8
1963-04-14,17.6,12.2,5.4,8.6,95.3,2.0,0.0,,0.0,14.8
1963-04-15,15.4,10.8,4.6,64.3,94.0,2.3,0.8,,6.1,12.6
1963-04-16,18.4,11.4,7.0,30.2,93.8,3.3,0.0,,0.0,14.4
1963-04-17,14.5,10.2,4.3,20.3,91.5,2.3,0.0,,0.0,11.9
1963-04-18,15.5,9.4,6.1,7.4,78.0,1.6,0.0,,0.0,12.0
1963-04-19,21.4,7.1,14.3,,64.5,2.1,10.8,,81.2,14.3
1963-04-20,22.8,9.7,13.1,,55.8,2.2,8.3,,62.4,15.7
1963-04-21,22.7,10.0,12.7,,46.0,4.1,10.7,,79.9,16.3
1963-04-22,17.3,8.2,9.1,0.9,42.5,5.1,2.6,,19.4,12.0
1963-04-23,12.0,7.8,4.2,0.0,71.0,3.2,0.0,,0.0,9.7
1963-04-24,16.6,8.0,8.6,0.0,74.0,3.2,9.5,,70.4,11.3
1963-04-25,16.7,6.7,10.0,,72.3,3.1,9.0,,66.7,10.5
1963-04-26,19.5,5.8,13.7,,66.8,2.3,8.5,,62.5,12.6
1963-04-27,16.4,9.9,6.5,0.6,65.5,2.3,1.2,,8.8,13.1
1963-04-28,15.6,10.5,5.1,9.6,98.0,2.8,0.0,,0.0,13.2
1963-04-29,21.1,11.8,9.3,0.2,72.0,3.2,6.0,,43.8,15.8
1963-04-30,18.4,11.6,6.8,,56.5,1.9,0.0,,0.0,14.9
1963-05-01,19.8,9.4,10.4,,66.3,2.8,6.6,,48.2,13.7
1963-05-02,20.2,9.0,11.2,,46.8,3.7,11.4,,82.6,13.9
1963-05-03,20.5,7.8,12.7,,53.8,2.2,8.7,,63.0,13.9
1963-05-04,12.9,10.3,2.6,10.3,87.3,2.5,0.0,,0.0,11.7
1963-05-05,18.3,9.0,9.3,,77.0,3.1,6.8,,48.9,12.2
1963-05-06,20.9,10.4,10.5,0.0,69.3,2.1,8.7,,62.6,14.8
1963-05-07,23.6,8.8,14.8,0.2,67.3,2.5,7.0,,50.4,15.8
1963-05-08,25.9,14.0,11.9,0.1,66.3,1.5,5.7,,40.7,19.3
1963-05-09,29.4,15.2,14.2,,51.0,2.6,11.1,,79.3,22.2
1963-05-10,26.9,15.3,11.6,,38.5,2.2,9.0,,64.3,21.4
1963-05-11,27.6,16.1,11.5,,29.3,4.2,10.4,,74.3,20.6
1963-05-12,25.5,12.4,13.1,,42.5,3.3,9.8,,69.5,20.0
1963-05-13,20.9,13.4,7.5,1.6,84.3,2.5,0.0,,0.0,17.8
1963-05-14,15.6,12.4,3.2,7.9,95.0,1.9,0.0,,0.0,13.7
1963-05-15,24.7,9.8,14.9,,65.3,2.0,11.5,,81.0,17.5
1963-05-16,22.5,13.2,9.3,,63.5,2.3,4.9,,34.5,17.8
1963-05-17,18.6,11.8,6.8,0.0,71.8,2.3,2.8,,19.7,14.6
1963-05-18,26.3,11.8,14.5,0.0,83.3,1.7,7.8,,54.9,17.0
1963-05-19,26.7,13.0,13.7,,70.5,1.8,9.0,,62.9,20.2
1963-05-20,20.8,16.0,4.8,15.8,88.5,1.6,0.0,,0.0,18.0
1963-05-21,19.2,13.3,5.9,0.1,93.0,2.2,0.0,,0.0,16.8
1963-05-22,23.0,13.3,9.7,0.0,86.8,1.5,0.0,,0.0,18.3
1963-05-23,24.2,17.7,6.5,0.0,55.8,3.0,0.0,,0.0,20.1
1963-05-24,18.2,13.5,4.7,18.5,74.0,3.0,0.0,,0.0,16.4
1963-05-25,20.8,13.4,7.4,0.0,76.0,1.6,1.3,,9.0,16.9
1963-05-26,16.8,12.7,4.1,20.7,90.0,1.4,0.0,,0.0,13.8
1963-05-27,19.3,13.2,6.1,1.1,86.0,1.7,1.4,,9.7,15.8
1963-05-28,22.9,12.5,10.4,,84.5,1.8,6.6,,45.5,16.9
1963-05-29,18.0,13.7,4.3,3.6,93.3,1.2,0.0,,0.0,16.8
1963-05-30,19.7,16.8,2.9,106.8,92.8,3.5,0.0,,0.0,18.0
1963-05-31,24.7,14.6,10.1,,73.5,2.3,5.8,,39.7,18.7
1963-06-01,28.7,14.1,14.6,,63.8,1.5,11.9,,81.5,21.5
1963-06-02,27.0,15.7,11.3,,65.0,1.4,5.7,,39.0,21.7
1963-06-03,24.3,14.0,10.3,7.4,69.0,3.5,0.0,,0.0,19.9
1963-06-04,21.3,11.9,9.4,25.5,78.0,4.0,2.1,,14.4,15.8
1963-06-05,27.0,12.2,14.8,,55.8,2.4,11.8,,80.8,20.1
1963-06-06,29.8,15.5,14.3,,52.8,1.9,11.3,,76.9,23.1
1963-06-07,27.3,15.7,11.6,,52.3,2.6,11.4,,77.6,21.8
1963-06-08,22.8,16.0,6.8,0.0,71.5,2.3,0.0,,0.0,18.7
1963-06-09,20.0,14.4,5.6,0.2,85.8,2.7,1.8,,12.2,16.8
1963-06-10,25.8,14.2,11.6,0.0,63.8,3.1,10.9,,74.1,19.7
1963-06-11,26.8,17.5,9.3,,68.0,2.8,10.5,,71.4,21.5
1963-06-12,29.5,18.0,11.5,,67.8,2.0,8.7,,59.2,22.4
1963-06-13,30.1,16.8,13.3,,62.3,2.2,11.8,,80.3,23.3
1963-06-14,26.6,16.4,10.2,0.0,74.0,2.5,9.8,,66.7,20.2
1963-06-15,26.4,17.3,9.1,6.5,79.8,1.5,4.5,,30.6,20.4
1963-06-16,29.4,17.9,11.5,,69.8,2.1,10.0,,67.6,24.1
1963-06-17,23.6,17.9,5.7,4.3,71.8,2.7,0.0,,0.0,20.5
1963-06-18,22.8,17.5,5.3,3.4,88.8,1.0,0.0,,0.0,20.1
1963-06-19,24.9,19.1,5.8,2.5,83.8,2.0,0.0,,0.0,21.3
1963-06-20,27.2,18.3,8.9,11.8,80.3,3.0,8.8,,59.5,21.5
1963-06-21,28.8,18.9,9.9,0.0,78.8,1.9,5.5,,37.2,22.8
1963-06-22,22.4,18.6,3.8,169.2,94.8,1.5,0.0,,0.0,20.4
1963-06-23,26.7,18.8,7.9,0.0,88.3,1.8,6.5,,43.9,21.7
1963-06-24,27.1,19.0,8.1,0.0,76.3,2.1,0.8,,5.4,22.6
1963-06-25,25.5,18.8,6.7,0.7,77.0,2.4,1.9,,12.8,21.7
1963-06-26,27.0,20.2,6.8,1.7,87.5,1.8,1.7,,11.5,22.5
1963-06-27,29.7,20.5,9.2,,78.5,1.7,3.6,,24.5,24.1
1963-06-28,23.4,20.2,3.2,91.9,92.8,2.5,0.0,,0.0,21.8
1963-06-29,23.3,20.8,2.5,58.6,97.3,2.0,0.2,,1.4,21.6
1963-06-30,25.8,20.3,5.5,,86.8,2.8,1.4,,9.5,22.7
1963-07-01,28.2,20.1,8.1,0.0,87.5,1.0,3.2,,21.8,23.6
1963-07-02,28.5,22.6,5.9,0.1,89.0,2.2,2.6,,17.7,24.3
1963-07-03,29.4,23.0,6.4,0.0,83.0,1.6,2.8,,19.0,25.4
1963-07-04,24.8,22.1,2.7,27.0,94.3,1.7,0.0,,0.0,23.7
1963-07-05,29.4,19.6,9.8,0.4,72.5,2.5,7.9,,53.7,24.2
1963-07-06,29.5,18.8,10.7,,70.8,2.4,9.9,,67.3,24.2
1963-07-07,23.0,19.1,3.9,45.3,95.3,1.5,0.0,,0.0,21.4
1963-07-08,27.7,18.8,8.9,,80.8,2.6,0.0,,0.0,22.7
1963-07-09,26.9,20.0,6.9,0.0,83.8,2.3,9.4,,64.4,22.4
1963-07-10,24.5,20.0,4.5,,86.5,1.0,0.0,,0.0,22.1
1963-07-11,29.7,19.4,10.3,,67.3,1.9,8.8,,60.3,24.7
1963-07-12,26.4,20.8,5.6,30.7,80.0,1.9,1.5,,10.3,23.1
1963-07-13,26.2,21.7,4.5,37.6,93.5,3.5,1.4,,9.6,23.3
1963-07-14,29.6,22.0,7.6,0.0,84.8,1.5,6.2,,42.8,25.1
1963-07-15,28.3,23.8,4.5,0.0,82.0,3.0,0.4,,2.8,25.3
1963-07-16,27.2,23.8,3.4,0.8,88.5,5.3,0.0,,0.0,24.9
1963-07-17,25.0,21.0,4.0,174.0,93.3,2.0,0.0,,0.0,23.4
1963-07-18,30.5,21.2,9.3,1.2,79.5,3.5,3.3,,22.8,25.4
1963-07-19,33.1,24.0,9.1,,75.5,1.6,7.6,,52.4,27.7
1963-07-20,32.0,25.1,6.9,8.5,74.8,1.7,3.8,,26.4,27.3
1963-07-21,27.0,23.0,4.0,47.1,87.8,3.6,0.0,,0.0,25.3
1963-07-22,29.0,23.6,5.4,0.5,86.8,3.5,3.2,,22.2,25.5
1963-07-23,26.2,22.3,3.9,34.0,88.8,2.6,0.0,,0.0,24.7
1963-07-24,25.6,23.2,2.4,26.7,96.0,3.9,0.0,,0.0,23.8
1963-07-25,25.6,21.9,3.7,12.4,90.8,3.8,0.0,,0.0,24.1
1963-07-26,27.5,21.6,5.9,0.0,83.5,2.3,7.1,,49.7,23.7
1963-07-27,28.2,21.3,6.9,,83.5,2.0,3.9,,27.3,24.1
1963-07-28,29.4,21.3,8.1,35.5,84.5,1.8,4.3,,30.3,25.0
1963-07-29,27.2,23.2,4.0,30.8,88.5,2.8,0.0,,0.0,24.8
1963-07-30,30.7,23.0,7.7,,81.0,2.0,4.0,,28.2,26.4
1963-07-31,30.8,23.6,7.2,1.0,80.3,1.6,6.7,,47.2,26.5
1963-08-01,31.2,24.4,6.8,,81.3,1.8,6.9,,48.9,27.0
1963-08-02,32.0,23.2,8.8,,74.8,1.7,8.6,,61.0,27.2
1963-08-03,32.8,22.6,10.2,,78.0,1.5,6.6,,46.8,26.7
1963-08-04,31.8,23.0,8.8,0.4,77.3,1.6,9.4,,67.1,27.1
1963-08-05,32.4,23.0,9.4,0.0,73.8,1.6,8.1,,57.9,27.5
1963-08-06,32.9,24.0,8.9,2.2,73.0,1.6,5.3,,38.1,27.6
1963-08-07,33.4,23.8,9.6,,71.3,1.5,9.9,,71.2,28.4
1963-08-08,33.2,24.5,8.7,,62.0,2.2,10.3,,74.1,28.5
1963-08-09,33.7,23.7,10.0,,61.5,3.6,11.2,,80.6,28.2
1963-08-10,31.5,24.3,7.2,0.0,57.8,2.5,3.1,,22.5,27.6
1963-08-11,30.3,22.5,7.8,2.3,72.5,1.5,4.5,,32.6,26.1
1963-08-12,31.5,23.4,8.1,,75.8,2.1,7.2,,52.2,26.7
1963-08-13,27.6,24.7,2.9,5.9,84.8,2.0,0.0,,0.0,25.5
1963-08-14,29.8,22.8,7.0,78.8,82.3,3.1,8.0,,58.4,25.3
1963-08-15,29.1,23.2,5.9,0.0,79.8,2.7,5.6,,40.9,25.7
1963-08-16,26.8,22.8,4.0,0.8,82.0,1.5,0.0,,0.0,24.6
1963-08-17,26.7,22.9,3.8,4.3,90.0,1.8,0.0,,0.0,24.2
1963-08-18,28.8,21.5,7.3,,78.0,2.2,9.7,,71.9,24.6
1963-08-19,30.2,19.5,10.7,,71.3,1.7,10.8,,80.0,24.5
1963-08-20,26.2,20.8,5.4,6.8,83.3,1.4,2.2,,16.3,22.6
1963-08-21,29.2,21.4,7.8,0.1,72.0,2.3,3.3,,24.6,24.6
1963-08-22,24.3,21.0,3.3,8.8,88.0,2.0,0.0,,0.0,22.1
1963-08-23,25.2,21.1,4.1,5.1,89.5,1.3,0.0,,0.0,22.8
1963-08-24,29.6,22.0,7.6,,79.0,2.2,9.1,,67.9,24.6
1963-08-25,30.8,21.6,9.2,,81.8,1.4,6.1,,45.9,25.1
1963-08-26,33.2,21.6,11.6,,77.3,1.2,9.2,,69.7,26.3
1963-08-27,33.0,22.3,10.7,,67.8,1.7,10.6,,80.3,27.5
1963-08-28,28.2,23.5,4.7,1.3,82.0,1.4,1.7,,12.9,24.7
1963-08-29,30.7,22.8,7.9,,79.0,1.2,3.2,,24.4,25.7
1963-08-30,24.7,21.0,3.7,9.7,88.5,1.8,0.0,,0.0,22.9
1963-08-31,31.6,19.2,12.4,,70.0,1.5,9.5,,72.5,25.2
1963-09-01,25.8,20.4,5.4,1.3,82.8,1.7,0.0,,0.0,22.6
1963-09-02,27.8,19.5,8.3,,62.5,4.0,9.9,,76.2,23.4
1963-09-03,27.5,16.8,10.7,1.3,69.3,2.1,7.7,,59.2,21.8
1963-09-04,28.0,18.3,9.7,,71.0,1.3,4.0,,30.8,22.8
1963-09-05,29.4,18.0,11.4,,73.5,2.2,7.9,,60.8,22.6
1963-09-06,28.6,19.6,9.0,,66.3,1.6,7.3,,57.0,23.5
1963-09-07,25.1,18.8,6.3,,65.5,1.8,1.8,,14.1,21.8
1963-09-08,26.8,19.7,7.1,,59.3,1.9,1.1,,8.6,22.9
1963-09-09,29.6,18.9,10.7,,57.0,1.5,10.4,,81.9,24.1
1963-09-10,30.2,18.7,11.5,,63.8,1.5,9.3,,73.2,24.1
1963-09-11,30.1,20.4,9.7,,62.5,2.0,5.6,,44.1,23.8
1963-09-12,29.6,18.6,11.0,,54.3,2.8,10.3,,81.7,23.7
1963-09-13,30.0,18.2,11.8,,56.3,3.0,10.1,,80.2,24.0
1963-09-14,28.6,18.7,9.9,,54.0,2.9,10.0,,80.0,23.8
1963-09-15,24.1,19.0,5.1,9.4,71.0,2.4,0.8,,6.4,20.9
1963-09-16,24.4,16.5,7.9,,66.3,2.4,8.2,,66.1,20.1
1963-09-17,25.6,16.1,9.5,,60.3,2.4,10.3,,83.1,20.5
1963-09-18,24.4,15.8,8.6,,51.0,2.6,10.2,,82.3,20.0
1963-09-19,25.8,13.6,12.2,,58.3,1.7,10.4,,84.6,19.8
1963-09-20,24.9,16.6,8.3,3.3,66.8,2.3,4.0,,32.5,18.9
1963-09-21,23.3,14.4,8.9,,70.5,2.9,9.0,,73.8,18.8
1963-09-22,23.0,11.6,11.4,,59.3,1.6,10.8,,88.5,17.3
1963-09-23,25.5,11.2,14.3,,50.8,1.6,10.9,,90.1,18.8
1963-09-24,17.8,13.9,3.9,24.0,77.3,2.6,0.0,,0.0,14.9
1963-09-25,21.4,12.0,9.4,0.0,58.8,4.0,8.5,,70.2,17.0
1963-09-26,20.4,13.2,7.2,10.4,74.8,3.2,5.9,,49.2,16.1
1963-09-27,21.8,10.4,11.4,,69.5,1.7,8.8,,73.3,15.9
1963-09-28,23.6,10.6,13.0,,70.8,1.5,10.7,,89.2,17.2
1963-09-29,22.2,11.8,10.4,,71.3,1.4,6.5,,54.6,17.4
1963-09-30,19.1,15.0,4.1,0.4,75.5,1.5,0.0,,0.0,17.5
1963-10-01,22.2,14.0,8.2,,69.0,2.9,8.8,,74.6,17.9
1963-10-02,23.8,10.0,13.8,,62.8,1.4,10.8,,91.5,16.6
1963-10-03,24.4,10.0,14.4,,64.3,2.1,10.5,,89.0,17.0
1963-10-04,17.6,8.2,9.4,0.4,62.8,2.6,6.2,,53.0,13.6
1963-10-05,19.8,4.2,15.6,,57.0,2.1,10.5,,89.7,12.7
1963-10-06,19.6,10.5,9.1,6.2,63.0,2.5,7.5,,64.7,13.7
1963-10-07,18.1,6.6,11.5,,51.3,1.7,10.7,,92.2,12.8
1963-10-08,20.8,5.7,15.1,,60.5,1.4,10.5,,90.5,13.4
1963-10-09,21.5,9.4,12.1,,59.3,1.7,10.0,,87.0,15.1
1963-10-10,22.5,10.2,12.3,,62.8,1.6,10.4,,90.4,16.3
1963-10-11,23.1,11.4,11.7,,55.5,2.0,10.6,,93.0,17.2
1963-10-12,23.2,10.4,12.8,,56.0,2.1,7.9,,69.3,16.2
1963-10-13,15.5,13.1,2.4,16.9,90.0,1.2,0.0,,0.0,14.4
1963-10-14,22.0,12.3,9.7,,66.8,1.6,9.1,,80.5,16.6
1963-10-15,22.8,8.4,14.4,,65.5,1.0,5.6,,49.6,15.7
1963-10-16,19.7,8.6,11.1,8.6,70.5,3.4,7.5,,66.4,14.1
1963-10-17,13.0,5.1,7.9,,50.8,2.5,10.0,,89.3,8.6
1963-10-18,14.4,4.4,10.0,,48.5,1.7,10.1,,90.2,9.3
1963-10-19,17.0,2.0,15.0,,54.5,1.3,9.7,,87.4,9.7
1963-10-20,17.1,5.3,11.8,0.0,64.0,1.5,3.8,,34.2,10.6
1963-10-21,14.8,6.0,8.8,,77.5,1.4,0.0,,0.0,9.9
1963-10-22,16.9,4.2,12.7,,74.0,1.3,6.8,,61.8,9.8
1963-10-23,18.4,5.3,13.1,,67.5,1.4,8.4,,76.4,11.9
1963-10-24,20.6,6.3,14.3,,67.8,2.0,9.7,,89.0,13.1
1963-10-25,19.6,7.4,12.2,,76.3,2.4,3.6,,33.0,12.4
1963-10-26,15.6,6.4,9.2,,68.5,2.0,9.2,,84.4,10.4
1963-10-27,20.4,4.8,15.6,,65.8,1.4,9.7,,89.8,12.4
1963-10-28,21.8,7.5,14.3,,61.0,1.4,9.5,,88.0,14.6
1963-10-29,20.2,9.7,10.5,,64.0,1.7,5.9,,54.6,14.8
1963-10-30,20.0,9.2,10.8,,75.5,2.1,9.6,,89.7,14.3
1963-10-31,18.8,10.4,8.4,,79.5,2.0,4.9,,45.8,13.9
1963-11-01,17.4,8.6,8.8,,67.3,1.8,8.6,,80.4,12.5
1963-11-02,17.3,5.9,11.4,,61.5,1.8,9.5,,89.6,11.4
1963-11-03,17.7,4.3,13.4,,57.5,1.4,8.1,,76.4,11.6
1963-11-04,17.6,8.4,9.2,,59.0,1.2,1.1,,10.4,12.4
